city_code,city_name
FPO,弗里波特
FRD,星期五港
FRO,弗卢勒
FRU,比什凯克
FSC,菲加里.科西嘉
FSD,苏福尔斯
FSM,史密斯堡
FTE,埃尔卡拉法特
FUE,富埃特文图拉岛
FUK,福冈
FWA,韦恩堡
FYU,育空堡
GAL,加利纳
GAM,甘伯尔
GAU,古瓦哈蒂
GBD,大本德
GCC,吉勒台
GCI,根西岛
GCK,加登城
GCM,大开曼岛
GCN,大峡谷
GDL,瓜达拉哈拉
GDN,格但斯克
GDZ,基联恩金克
GEG,斯波坎
GFK,大福克斯
GFN,格拉夫顿
GGG,朗维尤
GIB,直布罗陀
GJT,大章克申
GLA,格拉斯哥
GLV,戈络文
GNB,格勒诺布尔
GND,格林纳达
GNU,古德纽斯湾
GNV,盖恩斯维尔
GOA,热那亚
GOI,果阿
GOJ,下诺夫哥罗德
GON,新伦敦
GPA,帕特雷
GPT,格尔夫波特(加佛港)
GRB,格林贝
GRI,格兰德岛
GRJ,乔治城
GRO,赫罗纳
GRQ,格罗宁根
GRX,格拉纳达
GRZ,格拉茨
GSP,格林威尔
GST,古斯塔夫斯
GUA,危地马拉城
GUC,冈尼森
GUM,关岛
GUP,盖洛普
GYE,瓜亚基尔
GYN,戈亚尼亚
GZT,加济安泰普
HAD,哈尔姆斯塔德
HAJ,汉诺威
HAM,汉堡
HAR,哈里斯堡
HAU,海于格生德
HAV,哈瓦那
HBA,霍巴特
HCR,霍利克罗斯
HDN,海登
HER,赫拉克利翁
HFN,霍夫恩
HFT,哈默弗斯特
HGR,黑格斯敦
HHH,希尔顿黑德
HIB,西宾
HII,哈瓦苏湖城
HIJ,广岛
HJR,克久拉霍
HKB,希利赖克
HKD,函馆
HKT,普吉岛
HLA,兰塞里亚
HLZ,汉密尔顿
HMO,埃莫西约
HNH,胡纳
HNL,夏威夷·火奴鲁鲁
HNS,哈伊尼斯
HOB,霍布斯
HOG,奥尔金
HOM,荷马
HOT,温泉
HOV,厄什达瓦尔达
HPB,胡珀湾
HPH,海防
HPN,维斯特切斯特郡
HRE,哈拉雷
HRG,赫尔格达
HRK,哈尔科夫
HRL,哈灵根
HRO,哈里森
HSV,汉斯威尔
HTA,赤塔
HTS,亨廷顿
HUI,顺化
HUS,休斯
HUX,圣克鲁斯华图考
HUY,汉伯塞
HVN,纽黑文
HYA,海恩尼斯
HYD,海得拉巴
HYS,海斯
HZK,胡萨维克
IAG,尼亚加拉瀑布
IAN,凯厄纳
IAR,雅罗斯拉夫
IAS,雅西
IBA,伊巴丹
IBR,茨城
IBZ,伊比萨
ICT,威奇托市
IDR,印多尔
IEV,基辅
IFJ,伊萨菲约杜尔
IFP,布尔黑特市
IGG,伊久吉格
IGM,金曼
IGR,伊瓜苏
IGU,伊瓜苏福尔斯
IKT,伊尔库茨克
ILE,基林
ILG,威尔明顿
ILI,伊利亚姆纳
ILY,艾莱
IMT,艾恩蒙廷
IND,印第安纳波利斯
INL,国际瀑布
INN,因斯布鲁克
INT,温斯顿塞勒姆
INV,因佛内斯
IOM,马恩岛
IOS,伊利乌斯
IPC,复活节岛
IPH,怡保
IPL,因皮里尔
IPT,威廉斯波特
IRK,柯克斯维尔
ISB,伊斯兰堡
ISP,艾斯利普
ITH,伊萨卡
IVC,因佛卡吉尔
IVL,伊伐洛
IWD,艾恩伍德
IXB,巴格多格拉
IXC,昌迪加尔
IXE,门格洛尔
IXM,马杜赖
IXU,奥兰加巴德
IYK,因约肯
IZM,伊兹密尔
JAC,杰克逊
JAI,斋普尔
JAX,杰克逊威尔
JBR,琼斯伯勒
JED,吉达
JER,泽西
JHW,詹姆斯敦
JKG,荣彻平
JKH,希俄斯
JLN,乔普林
JMK,米克诺斯岛
JMS,詹姆斯顿
JNB,约翰内斯堡
JNU,朱诺
JNX,拿索斯
JOE,约恩苏
JOG,日惹
JOI,儒万维尔
JPA,若昂佩索阿
JRO,乞力马
JSI,斯基亚索斯
JSR,杰索尔
JST,约翰斯顿
JSY,锡罗斯岛
JTR,圣托里尼
KAL,卡尔塔格
KBC,伯奇克里克
KBR,哥打巴鲁
KCL,奇格尼克
KEJ,克麦罗沃
KEK,埃阔克
KFP,福尔斯帕斯
KGD,加里宁格勒
KGF,卡拉干达
KGK,科里加内克
KGL,基加利
KGS,科斯
KGX,格雷林
